ANONYMOUS_CUSTOMER_ID,UNIQUE_ID,WEBHOOK_TYPE,PAYMENT_STATUS,TOTAL_AMOUNT,HASH_EMAIL,CUSTOMER
cus_RKeX0qw71IsBg4,14714524673601974,invoice.paid_credit_added,succeeded,20.0,f79932aa15723bd7b8622853861fc2b0,f79932aa15723bd7b8622853861fc2b0
cus_RKeX0qw71IsBg4,16578560139279840,invoice.paid_credit_added,succeeded,20.0,f79932aa15723bd7b8622853861fc2b0,f79932aa15723bd7b8622853861fc2b0
cus_Rtx1oHkslVX0I9,14751203985498167,invoice.paid_credit_added,succeeded,20.0,1e504d9420e465686b7707709835fdbe,1e504d9420e465686b7707709835fdbe
cus_Ryp4kKY62CvS7A,14776630857084649,invoice.payment_overdue,pending,0.03,31d7157a35f48f9f64ffbc0d51c5a11b,31d7157a35f48f9f64ffbc0d51c5a11b
cus_SLLrTHQmOuZefX,14969642606420261,invoice.paid_credit_added,succeeded,5.0,d0b93cbc929eecff2c20160afc8d8c4a,d0b93cbc929eecff2c20160afc8d8c4a
cus_RKeX0qw71IsBg4,16109063202643365,invoice.paid_credit_added,succeeded,20.0,f79932aa15723bd7b8622853861fc2b0,f79932aa15723bd7b8622853861fc2b0
cus_S3E0DAOkSPFkwE,14722310502026496,invoice.payment_overdue,failed,1.8,e96b0abe95670e6241425c0f8065586c,e96b0abe95670e6241425c0f8065586c
cus_RKeX0qw71IsBg4,15203404099062743,invoice.paid_credit_added,succeeded,20.0,f79932aa15723bd7b8622853861fc2b0,f79932aa15723bd7b8622853861fc2b0
cus_RyMdc4GJQFUjyF,15215895582001266,invoice.payment_overdue,failed,0.67,777e8ffbcca603ef947ec42c6bab21f3,777e8ffbcca603ef947ec42c6bab21f3
cus_SWOz0hyUvUxBLS,15813155363134835,invoice.payment_overdue,pending,0.06,478edebb42e877288cd5c4b2c4f5c905,478edebb42e877288cd5c4b2c4f5c905
cus_RyglVaAZBKsRPU,15813914482638569,invoice.payment_overdue,failed,0.54,94b0ad29fbab3708d8cd83bd10a8db4f,94b0ad29fbab3708d8cd83bd10a8db4f
cus_Shaso6DEzw12fQ,15814031056468927,invoice.payment_overdue,failed,0.92,3c44e953b0c845678073a0582f618618,3c44e953b0c845678073a0582f618618
cus_Rtx1oHkslVX0I9,15833504478715073,invoice.paid_credit_added,succeeded,20.0,1e504d9420e465686b7707709835fdbe,1e504d9420e465686b7707709835fdbe
cus_SH8OKbE3ZgoY5Q,16119970775640941,invoice.paid_credit_added,succeeded,30.0,3429188dae9f776f554d536cd81af607,3429188dae9f776f554d536cd81af607
